f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
c7,c0,c0,c3,36,1,c0,c1,c1,0.9,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7595999999999999,c2,83,1,c4
c4,c0,c0,c6,49,1,c0,c3,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9808,c1,87,0,c7
c1,c1,c0,c0,57,1,c0,c3,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,305,0,c6
c0,c1,c0,c6,30,1,c0,c3,c2,899.1,4991.6,c1,65.8385,-31.84,-1.7,0.4452,c1,316,0,c5
c1,c1,c2,c1,25,8,c1,c2,c2,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,90,0,c4
c1,c1,c2,c0,42,1,c0,c2,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,545,0,c4
c9,c1,c0,c3,47,2,c0,c0,c0,899.1,5228.1,c1,66.1255,-33.44,1.4,2.919,c1,289,0,c5
c7,c0,c0,c3,33,2,c0,c3,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.819,c1,524,0,c3
c3,c0,c2,c0,53,20,c0,c1,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9766,c1,165,0,c6
c1,c1,c2,c1,42,1,c0,c1,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,99,0,c4
c1,c0,c0,c2,39,1,c0,c4,c1,2.7,5017.5,c1,64.66529999999999,-23.840000000000003,-3.4,0.48179999999999995,c2,293,1,c8
c7,c1,c0,c3,33,1,c0,c3,c0,899.1,5191.0,c1,65.7958,-29.12,1.1,2.916,c1,109,0,c4
c7,c1,c2,c2,37,2,c1,c4,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9154,c1,246,0,c4
c1,c0,c2,c0,50,2,c1,c1,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9766,c1,231,0,c6
c5,c0,c0,c5,58,24,c0,c1,c0,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9766,c1,60,0,c6
c0,c1,c0,c2,27,3,c0,c0,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.919,c1,72,0,c5
c9,c0,c0,c6,23,11,c1,c1,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9766,c1,603,0,c6
c1,c0,c0,c2,33,1,c0,c3,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7961999999999999,c1,263,0,c4
c0,c0,c0,c3,34,1,c1,c4,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.843,c1,329,0,c3
c0,c0,c0,c3,29,1,c0,c0,c1,899.1,5076.2,c0,65.07409999999999,-32.64,-2.9,0.756,c0,155,1,c5
c1,c0,c2,c1,46,5,c0,c0,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.976,c1,500,0,c6
c4,c0,c0,c6,43,2,c0,c0,c1,899.1,5195.8,c0,65.24,-33.6,-0.1,2.5145999999999997,c1,150,0,c10
c1,c1,c0,c1,46,9,c2,c3,c0,899.1,5228.1,c2,66.1255,-33.44,1.4,2.9766,c1,45,0,c5
c9,c1,c2,c5,47,5,c0,c1,c2,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9135999999999997,c1,148,0,c4
c7,c0,c0,c3,48,2,c0,c4,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.843,c1,193,0,c3
c6,c0,c0,c6,60,2,c0,c3,c0,899.1,5076.2,c0,64.5407,-25.12,-2.9,0.5297999999999999,c1,90,0,c7
c0,c1,c0,c6,38,4,c0,c2,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9148,c1,111,0,c4
c9,c1,c0,c6,37,3,c0,c3,c2,899.1,5191.0,c1,65.7958,-29.12,1.1,2.916,c1,199,0,c4
c5,c0,c0,c0,78,1,c0,c0,c1,11.700000000000001,4991.6,c1,65.9505,-32.24,-1.7,0.522,c2,212,2,c6
c1,c1,c2,c1,38,1,c0,c0,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,85,0,c4
c1,c1,c0,c0,46,3,c0,c3,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9130000000000003,c1,246,0,c4
c0,c0,c0,c3,37,2,c0,c4,c0,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.843,c1,1311,0,c3
c1,c0,c0,c2,36,1,c0,c2,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.8004,c1,133,0,c4
c0,c0,c2,c6,35,5,c0,c2,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9789999999999996,c1,181,0,c7
c7,c0,c0,c3,52,5,c0,c1,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9778,c1,607,0,c7
c7,c0,c0,c1,51,1,c0,c3,c1,1.8,5099.1,c0,65.1525,-37.68,-1.8,0.819,c2,407,1,c3
c1,c1,c2,c1,47,1,c0,c0,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7794000000000001,c1,21,0,c4
c1,c0,c0,c1,44,1,c0,c3,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.846,c1,304,0,c3
c0,c1,c2,c6,55,2,c1,c2,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9148,c1,232,0,c4
c1,c1,c0,c2,45,1,c0,c2,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9753999999999996,c1,119,0,c5
c1,c1,c2,c0,42,9,c1,c2,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9183999999999997,c1,317,0,c5
c9,c1,c2,c5,40,1,c0,c0,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9766,c1,96,0,c5
c1,c0,c0,c2,52,1,c0,c0,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9819999999999998,c1,551,0,c7
c0,c0,c0,c2,49,2,c0,c1,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9766,c1,73,0,c6
c9,c0,c0,c3,33,2,c0,c1,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9796,c1,398,0,c7
c7,c1,c0,c3,34,3,c0,c4,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9753999999999996,c1,160,0,c5
c5,c0,c0,c5,59,1,c0,c3,c1,899.1,5195.8,c0,65.24,-33.6,-0.1,2.4456,c1,80,0,c10
c4,c0,c0,c6,38,2,c0,c0,c1,899.1,5195.8,c0,65.24,-33.6,-0.1,2.5145999999999997,c1,221,0,c10
c9,c0,c0,c6,46,8,c0,c1,c0,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9766,c1,199,0,c6
c9,c1,c0,c5,34,8,c0,c3,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9748,c1,168,0,c5
c7,c0,c0,c6,35,2,c2,c0,c2,899.1,5076.2,c2,64.5407,-25.12,-2.9,0.5304,c1,419,0,c7
c7,c1,c0,c3,42,2,c0,c0,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.919,c1,276,0,c5
c9,c0,c0,c6,37,3,c0,c0,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.976,c1,164,0,c6
c7,c0,c2,c3,56,1,c0,c4,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.75,c0,169,1,c4
c1,c0,c2,c2,57,2,c1,c4,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.4126,c1,134,0,c10
c1,c1,c0,c1,36,1,c0,c2,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9154,c1,57,0,c4
c6,c0,c0,c0,33,7,c0,c2,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,106,0,c7
c6,c0,c0,c6,47,4,c0,c1,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9789999999999996,c1,42,0,c7
c5,c1,c0,c2,78,1,c0,c3,c1,899.1,5017.5,c1,64.70169999999999,-21.52,-3.4,0.45239999999999997,c1,321,0,c9
c1,c1,c0,c2,33,4,c1,c4,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9154,c1,84,0,c4
c7,c1,c0,c3,42,1,c0,c4,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7878000000000001,c1,128,0,c4
c5,c1,c2,c5,60,5,c0,c2,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9148,c1,280,0,c4
c0,c1,c0,c6,36,1,c0,c0,c2,899.1,5228.1,c1,66.1255,-33.44,1.4,2.976,c1,99,0,c5
c4,c0,c0,c6,30,3,c0,c2,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9778,c1,957,0,c6
c1,c1,c2,c7,47,4,c0,c0,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.919,c1,98,0,c5
c6,c0,c0,c2,37,1,c0,c4,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,78,0,c7
c1,c1,c0,c3,36,1,c0,c3,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9130000000000003,c1,268,0,c4
c6,c1,c0,c5,42,4,c0,c1,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9748,c1,214,0,c5
c0,c0,c0,c6,32,2,c0,c0,c1,899.1,5017.5,c0,64.8543,-24.080000000000002,-3.4,0.429,c0,178,1,c10
c9,c0,c0,c5,39,1,c0,c0,c2,899.1,5099.1,c0,65.1525,-37.68,-1.8,0.843,c1,714,0,c3
c0,c1,c0,c7,42,6,c0,c3,c2,899.1,5191.0,c0,65.7958,-29.12,1.1,2.916,c1,633,0,c4
c7,c1,c0,c3,29,2,c0,c1,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9766,c1,200,0,c5
c10,c1,c0,c0,31,9,c0,c4,c2,899.1,5195.8,c1,65.24,-33.6,-0.1,2.4126,c1,144,0,c10
c2,c0,c0,c5,38,2,c1,c1,c1,899.1,5076.2,c1,65.07409999999999,-32.64,-2.9,0.7572,c0,262,1,c5
c0,c0,c0,c6,30,1,c0,c1,c2,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9796,c1,52,0,c7
c9,c0,c0,c6,48,1,c0,c4,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,251,0,c7
c0,c1,c0,c6,28,1,c0,c2,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9753999999999996,c1,191,0,c5
c6,c0,c0,c6,44,1,c0,c4,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.75,c0,151,1,c4
c7,c1,c0,c3,40,1,c0,c1,c1,899.1,5195.8,c1,65.65859999999999,-32.32,-0.1,2.9808,c0,144,1,c9
c2,c0,c0,c7,43,3,c0,c0,c2,899.1,5076.2,c0,64.72829999999999,-26.880000000000003,-2.9,0.6288,c0,96,1,c6
c10,c1,c0,c1,31,1,c0,c1,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9183999999999997,c1,35,0,c5
c3,c0,c0,c2,39,1,c1,c0,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.5145999999999997,c1,112,0,c10
c0,c0,c0,c6,31,1,c1,c3,c2,899.1,5195.8,c0,65.24,-33.6,-0.1,2.4456,c1,264,0,c10
c11,c1,c0,c6,34,2,c0,c2,c2,899.1,5017.5,c1,64.70169999999999,-21.52,-3.4,0.43440000000000006,c1,182,0,c9
c1,c1,c2,c3,38,1,c2,c4,c1,899.1,5228.1,c2,66.1255,-33.44,1.4,2.9801999999999995,c1,102,0,c5
c7,c1,c2,c3,38,3,c1,c3,c2,899.1,5191.0,c0,65.7958,-29.12,1.1,2.916,c1,1257,0,c4
c5,c0,c0,c5,71,1,c0,c4,c1,899.1,5017.5,c0,64.66529999999999,-23.840000000000003,-3.4,0.48179999999999995,c1,313,0,c8
c0,c0,c0,c6,39,18,c1,c0,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,25,0,c6
c7,c0,c0,c3,27,5,c0,c4,c2,5.4,4991.6,c0,65.9505,-32.24,-1.7,0.5376,c2,700,2,c6
c1,c1,c2,c2,46,2,c0,c1,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,426,0,c4
c1,c0,c0,c2,37,1,c1,c0,c0,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.843,c1,156,0,c3
c9,c1,c0,c5,29,4,c1,c3,c2,899.1,5191.0,c1,65.7958,-29.12,1.1,2.916,c1,118,0,c4
c0,c0,c0,c3,38,2,c1,c0,c0,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.976,c1,125,0,c6
c10,c1,c0,c6,33,1,c0,c4,c2,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9778,c1,145,0,c7
c9,c0,c0,c6,34,1,c0,c3,c2,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,244,0,c7
c1,c0,c0,c5,40,5,c0,c0,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,81,0,c6
c1,c1,c2,c0,56,2,c0,c0,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,100,0,c4
c5,c0,c0,c0,77,1,c0,c3,c0,899.1,5099.1,c0,65.1525,-37.68,-1.8,0.819,c0,155,1,c3
c1,c0,c2,c2,51,2,c0,c0,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.843,c1,143,0,c3
c0,c1,c0,c2,24,6,c0,c4,c2,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.75,c1,12,0,c4
c9,c0,c0,c5,34,1,c0,c0,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9789999999999996,c1,187,0,c7
c4,c0,c0,c6,49,1,c0,c3,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.819,c1,387,0,c3
c1,c0,c2,c2,36,1,c1,c3,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9778,c1,158,0,c6
c9,c0,c0,c6,34,2,c0,c1,c2,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9796,c1,136,0,c7
c9,c0,c0,c5,38,3,c0,c0,c2,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7464,c0,202,1,c4
c7,c0,c0,c2,37,1,c0,c2,c0,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9741999999999997,c1,885,0,c6
c0,c0,c0,c6,31,1,c0,c2,c2,1.8,4963.6,c1,66.3369,-40.64,-1.1,0.6288,c2,404,5,c10
c0,c0,c0,c2,40,1,c0,c1,c0,899.1,5195.8,c0,65.24,-33.6,-0.1,2.4918,c1,179,0,c10
c0,c1,c0,c6,33,1,c0,c2,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9183999999999997,c1,355,0,c5
c0,c0,c0,c2,29,4,c0,c3,c0,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.846,c1,114,0,c3
c2,c0,c2,c7,50,1,c1,c1,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,163,0,c6
c7,c0,c0,c3,51,1,c0,c1,c1,899.1,5008.7,c0,65.7132,-32.0,-1.8,0.40079999999999993,c0,1267,1,c4
c7,c0,c0,c3,30,2,c1,c3,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.4456,c0,282,1,c10
c6,c0,c0,c6,46,4,c0,c0,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,152,0,c6
c1,c0,c0,c2,41,1,c0,c1,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.8064,c1,1240,0,c4
c1,c0,c0,c3,33,2,c0,c2,c2,899.1,5099.1,c0,64.99009999999998,-40.0,-1.8,0.9611999999999998,c1,278,0,c2
c0,c0,c0,c3,38,6,c0,c1,c2,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7746,c0,96,1,c4
c5,c0,c0,c6,61,1,c0,c1,c1,899.1,5076.2,c1,64.5407,-25.12,-2.9,0.5154000000000001,c1,101,0,c7
c4,c1,c0,c6,46,5,c0,c4,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9142,c1,258,0,c4
c7,c0,c0,c3,36,2,c0,c0,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.5145999999999997,c1,48,0,c10
c2,c0,c2,c2,48,2,c0,c2,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.8004,c1,487,0,c4
c0,c0,c0,c6,31,2,c0,c4,c2,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9778,c1,961,0,c7
c1,c0,c0,c1,39,9,c0,c2,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.8004,c1,34,0,c4
c1,c1,c0,c0,36,8,c0,c4,c2,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9682,c1,250,0,c5
c9,c0,c0,c5,38,1,c0,c4,c1,899.1,5017.5,c1,64.66529999999999,-23.840000000000003,-3.4,0.48179999999999995,c1,166,0,c8
c9,c0,c0,c5,44,2,c0,c2,c2,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.849,c1,412,0,c3
c7,c0,c0,c3,33,1,c0,c0,c1,899.1,4991.6,c0,65.8385,-31.84,-1.7,0.432,c0,472,1,c5
c7,c1,c2,c3,50,2,c0,c3,c2,899.1,5191.0,c1,65.7958,-29.12,1.1,2.916,c1,468,0,c4
c3,c0,c2,c0,59,2,c0,c1,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9766,c1,121,0,c6
c9,c0,c0,c5,32,1,c0,c4,c2,899.1,5076.2,c0,64.5407,-25.12,-2.9,0.5286,c1,87,0,c7
c4,c0,c0,c6,40,3,c0,c0,c1,899.1,5076.2,c1,65.07409999999999,-32.64,-2.9,0.729,c1,295,0,c5
c0,c0,c0,c1,45,2,c1,c4,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,268,0,c6
c7,c0,c0,c1,52,1,c0,c0,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.843,c1,44,0,c3
c9,c0,c0,c5,32,1,c1,c0,c2,899.1,5076.2,c1,65.07409999999999,-32.64,-2.9,0.729,c1,187,0,c5
c0,c1,c0,c3,39,19,c1,c4,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9753999999999996,c1,9,0,c5
c0,c0,c0,c3,30,1,c0,c3,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.4456,c0,167,1,c10
c9,c0,c2,c6,40,2,c0,c0,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.976,c1,185,0,c6
c1,c0,c0,c0,45,1,c0,c1,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7746,c0,77,1,c4
c1,c1,c2,c1,56,1,c0,c4,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9130000000000003,c1,342,0,c4
c5,c0,c0,c0,70,3,c0,c0,c0,899.1,5099.1,c1,64.99009999999998,-40.0,-1.8,1.0866,c1,187,0,c2
c9,c0,c0,c6,32,6,c0,c3,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9808,c1,19,0,c6
c9,c0,c0,c5,43,2,c0,c2,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,78,0,c7
c0,c0,c0,c3,33,2,c0,c2,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.8004,c0,137,1,c4
c10,c0,c2,c5,49,2,c0,c2,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9801999999999995,c1,397,0,c7
c9,c0,c0,c5,40,1,c0,c3,c0,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9772,c1,247,0,c7
c5,c0,c0,c0,55,1,c0,c4,c1,2.7,5076.2,c1,64.5407,-25.12,-2.9,0.5214000000000001,c2,137,1,c7
c0,c0,c0,c3,40,3,c0,c2,c1,899.1,5017.5,c0,64.70169999999999,-21.52,-3.4,0.43440000000000006,c0,524,1,c9
c4,c1,c0,c6,58,9,c0,c2,c3,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9772,c1,16,0,c5
c10,c0,c0,c2,45,1,c0,c0,c1,899.1,5076.2,c1,65.07409999999999,-32.64,-2.9,0.7595999999999999,c0,129,1,c5
c8,c0,c0,c5,26,1,c0,c2,c2,899.1,5076.2,c1,65.07409999999999,-32.64,-2.9,0.756,c0,96,1,c5
c0,c1,c0,c2,42,6,c0,c2,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9154,c1,117,0,c4
c9,c0,c0,c5,34,8,c0,c2,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9778,c1,1078,0,c6
c0,c0,c0,c6,34,2,c1,c0,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7464,c1,73,0,c4
c4,c0,c0,c6,60,2,c0,c4,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,241,0,c6
c1,c0,c0,c2,23,1,c0,c1,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9766,c1,211,0,c6
c9,c0,c2,c7,45,2,c0,c0,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.976,c1,326,0,c6
c9,c1,c2,c6,45,1,c0,c1,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9135999999999997,c1,122,0,c4
c9,c0,c0,c5,46,1,c0,c1,c1,899.1,5099.1,c0,65.1525,-37.68,-1.8,0.8538,c1,279,0,c3
c1,c1,c2,c2,38,2,c0,c4,c2,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9183999999999997,c1,91,0,c4
c7,c0,c2,c0,48,2,c1,c3,c2,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7595999999999999,c1,306,0,c4
c5,c0,c0,c0,63,1,c0,c4,c1,899.1,4991.6,c0,65.9505,-32.24,-1.7,0.5376,c1,273,0,c6
c6,c0,c0,c2,51,1,c0,c3,c2,899.1,5017.5,c1,64.8543,-24.080000000000002,-3.4,0.42840000000000006,c1,104,0,c10
c4,c0,c0,c6,53,1,c0,c3,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.4456,c1,186,0,c10
c1,c1,c2,c0,46,2,c0,c3,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.916,c1,431,0,c4
c9,c1,c0,c6,31,3,c0,c4,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9801999999999995,c1,59,0,c5
c2,c0,c0,c2,42,3,c0,c3,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.846,c1,76,0,c3
c2,c1,c2,c6,47,1,c0,c0,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,449,0,c4
c0,c0,c0,c3,25,1,c0,c1,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9766,c1,53,0,c6
c0,c1,c2,c3,38,2,c0,c0,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,165,0,c4
c1,c0,c0,c2,39,3,c0,c2,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.8004,c1,129,0,c4
c0,c0,c0,c6,31,2,c0,c2,c2,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9801999999999995,c1,432,0,c7
c0,c0,c0,c6,33,4,c0,c1,c2,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9796,c1,226,0,c7
c0,c0,c0,c6,29,2,c0,c3,c2,899.1,5099.1,c0,65.1525,-37.68,-1.8,0.846,c1,271,0,c3
c5,c1,c0,c0,46,3,c0,c0,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.919,c1,550,0,c5
c0,c0,c0,c6,34,1,c0,c3,c1,899.1,5099.1,c0,65.1525,-37.68,-1.8,0.819,c1,279,0,c3
c0,c0,c0,c3,25,4,c0,c0,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,154,0,c6
c0,c0,c0,c3,35,1,c0,c3,c2,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.846,c1,352,0,c3
c9,c0,c0,c7,34,21,c0,c3,c0,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9808,c1,46,0,c6
c0,c0,c0,c3,37,6,c1,c2,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9778,c1,205,0,c6
c1,c0,c0,c3,50,2,c1,c0,c0,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.976,c1,629,0,c6
c7,c0,c0,c3,39,4,c0,c2,c2,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9778,c1,239,0,c6
c1,c0,c0,c1,32,1,c0,c1,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9766,c1,59,0,c6
c0,c0,c0,c6,34,1,c0,c4,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9796,c1,147,0,c7
c6,c0,c0,c5,30,5,c0,c1,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7746,c1,98,0,c4
c0,c0,c0,c2,47,1,c0,c4,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.843,c1,196,0,c3
c6,c0,c2,c6,48,2,c0,c0,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,191,0,c6
